"id","code","name","type","user_type:id","parent_id:id","reconcile"
"ves223600",223600,"Training and Courses","Regular","account.data_account_type_expense","ves221000","FALSE"
"ves225000",225000,"Subcontractors","Regular","account.data_account_type_expense","ves221000","FALSE"
"ves226000",226000,"PAYE SDL UIF","Regular","account.data_account_type_expense","ves221000","FALSE"
"ves230000",230000,"General Expenses","View","account.data_account_type_expense","ves220000","FALSE"
"ves231000",231000,"Professional Services Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves231100",231100,"Accounting Fees","Regular","account.data_account_type_expense","ves231000","FALSE"
"ves231200",231200,"Audit Fees","Regular","account.data_account_type_expense","ves231000","FALSE"
"ves231300",231300,"Legal Fees","Regular","account.data_account_type_expense","ves231000","FALSE"
"ves231400",231400,"Consultants Fees","Regular","account.data_account_type_expense","ves231000","FALSE"
"ves232000",232000,"Finance and Tax Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves232100",232100,"Financial Costs","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232200",232200,"Bank Charges","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232300",232300,"Finance Charges","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232400",232400,"Interest Paid","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232500",232500,"Penalties Paid","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232600",232600,"Foreign Exchange","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232700",232700,"Interest Revenue","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232800",232800,"Income tax","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232900",232900,"Provisional Tax","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves232901",232901,"Discounts allowed","Regular","account.data_account_type_expense","ves232000","FALSE"
"ves233000",233000,"Insurance Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves233100",233100,"Insurance PPE","Regular","account.data_account_type_expense","ves233000","FALSE"
"ves233200",233200,"Insurance Life Policies","Regular","account.data_account_type_expense","ves233000","FALSE"
"ves233300",233300,"Insurance Medical Aid","Regular","account.data_account_type_expense","ves233000","FALSE"
"ves233400",233400,"Levies","Regular","account.data_account_type_expense","ves233000","FALSE"
"ves234000",234000,"Equipment and Vehicle Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves234100",234100,"Leasing Charges","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234200",234200,"Motor Vehicles","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234300",234300,"Office Equipment","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234400",234400,"Warehouse Equipment","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234500",234500,"Fuel and Oil","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234600",234600,"Gas","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234700",234700,"Service and Maintenance","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234800",234800,"Vehicle Tracking","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234900",234900,"Licenses and Registrations","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves234910",234910,"Toll Fees","Regular","account.data_account_type_expense","ves234000","FALSE"
"ves235000",235000,"IT Equipment Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves235100",235100,"IT and Computers","Regular","account.data_account_type_expense","ves235000","FALSE"
"ves235200",235200,"IT and Computers (Hardware)","Regular","account.data_account_type_expense","ves235000","FALSE"
"ves235300",235300,"IT and Computers (Software)","Regular","account.data_account_type_expense","ves235000","FALSE"
"ves236000",236000,"Product Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves236100",236100,"Product Warrantees","Regular","account.data_account_type_expense","ves236000","FALSE"
"ves236200",236200,"Research and development","Regular","account.data_account_type_expense","ves236000","FALSE"
"ves236300",236300,"Logistics Charges","Regular","account.data_account_type_expense","ves236000","FALSE"
"ves236400",236400,"Engineering / Modification Charges","Regular","account.data_account_type_expense","ves236000","FALSE"
"ves236500",236500,"Workshop Consumables","Regular","account.data_account_type_expense","ves236000","FALSE"
"ves237000",237000,"Office Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves237100",237100,"Cleaning and Materials","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237200",237200,"Courier and Postage","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237300",237300,"Donations and Gifts","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237400",237400,"Electricity and Water","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237500",237500,"Printing and Stationery","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237600",237600,"Rent Offices and Warehouse","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237700",237700,"Security","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237800",237800,"Subscriptions","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237900",237900,"Telephone and Internet","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237910",237910,"Travel and Accommodation","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves237920",237920,"Uniforms and Protective Clothing","Regular","account.data_account_type_expense","ves237000","FALSE"
"ves238000",238000,"Marketing Related Expenses","View","account.data_account_type_expense","ves230000","FALSE"
"ves238100",238100,"Entertainment","Regular","account.data_account_type_expense","ves238000","FALSE"
"ves238200",238200,"Marketing","Regular","account.data_account_type_expense","ves238000","FALSE"
"ves238300",238300,"Advertising Public relations","Regular","account.data_account_type_expense","ves238000","FALSE"
"ves238400",238400,"Tradeshows,exhibitions","Regular","account.data_account_type_expense","ves238000","FALSE"
"ves238500",238500,"Promotions","Regular","account.data_account_type_expense","ves238000","FALSE"
"ves239000",239000,"Depreciation","View","account.data_account_type_expense","ves230000","FALSE"
,,,,,,
,,,,,,
,,,,,,
"vea0",0,"Vert Energy Africa (Pty) Ltd","View","account.data_account_type_view",,"FALSE"
"vea1",1,"Balance Sheet","View","account.data_account_type_view","vea0","FALSE"
"vea10",10,"Fixed Assets","View","account.account_type_asset_view1","vea1","FALSE"
"vea100000",100000,"Fixed Asset Account","Regular","account.account_type_asset_view1","vea10","FALSE"
"vea100100",100100,"Property, plant and equipment (PPandE)","View","account.account_type_asset_view1","vea10","FALSE"
"vea100111",100111,"Land and Buildings","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100112",100112,"Land and Buildings Net Value","Regular","account.data_account_type_asset","vea100111","FALSE"
"vea100113",100113,"Land and Buildings @ Cost","Regular","account.data_account_type_asset","vea100111","FALSE"
"vea100114",100114,"Land and Buildings Accumulated Depreciation","Regular","account.data_account_type_asset","vea100111","FALSE"
"vea100121",100121,"Investment Properties","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100122",100122,"Investment Properties Net Value","Regular","account.data_account_type_asset","vea100121","FALSE"
"vea100123",100123,"Investment Properties @ Cost","Regular","account.data_account_type_asset","vea100121","FALSE"
"vea100124",100124,"Investment Properties Accumulated Depreciation","Regular","account.data_account_type_asset","vea100121","FALSE"
"vea100131",100131,"Machinery and Tools","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100132",100132,"Machinery and Tools Net Value","Regular","account.data_account_type_asset","vea100131","FALSE"
"vea100133",100133,"Machinery and Tools @ Cost","Regular","account.data_account_type_asset","vea100131","FALSE"
"vea100134",100134,"Machinery and Tools Accumulated Depreciation","Regular","account.data_account_type_asset","vea100131","FALSE"
"vea100141",100141,"Motor Vehicles","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100142",100142,"Motor Vehicles Net Value","Regular","account.data_account_type_asset","vea100141","FALSE"
"vea100143",100143,"Motor Vehicles @ Cost","Regular","account.data_account_type_asset","vea100141","FALSE"
"vea100144",100144,"Motor Vehicles Accumulated Depreciation","Regular","account.data_account_type_asset","vea100141","FALSE"
"vea100151",100151,"Warehouse Delivery Equipment","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100152",100152,"Warehouse Delivery Equipment Net Value","Regular","account.data_account_type_asset","vea100151","FALSE"
"vea100153",100153,"Warehouse Delivery Equipment @ Cost","Regular","account.data_account_type_asset","vea100151","FALSE"
"vea100154",100154,"Warehouse Delivery Equipment Accumulated Depreciation","Regular","account.data_account_type_asset","vea100151","FALSE"
"vea100161",100161,"Furniture and fixtures","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100162",100162,"Furniture and fixtures Net Value","Regular","account.data_account_type_asset","vea100161","FALSE"
"vea100163",100163,"Furniture and fixtures @ Cost","Regular","account.data_account_type_asset","vea100161","FALSE"
"vea100164",100164,"Furniture and fixtures Accumulated Depreciation","Regular","account.data_account_type_asset","vea100161","FALSE"
"vea100171",100171,"Information systems (Hardware)","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100172",100172,"Information systems (Hardware) Net Value","Regular","account.data_account_type_asset","vea100171","FALSE"
"vea100173",100173,"Information systems (Hardware) @ Cost","Regular","account.data_account_type_asset","vea100171","FALSE"
"vea100174",100174,"Information systems (Hardware) Accumulated Depreciation","Regular","account.data_account_type_asset","vea100171","FALSE"
"vea100181",100181,"Information systems (Software)","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea100182",100182,"Information systems (Software) Net Value","Regular","account.data_account_type_asset","vea100181","FALSE"
"vea100183",100183,"Information systems (Software) @ Cost","Regular","account.data_account_type_asset","vea100181","FALSE"
"vea100184",100184,"Information systems (Software)) Accumulated Depreciation","Regular","account.data_account_type_asset","vea100181","FALSE"
"vea100200",100200,"Assets to be disposed of","Regular","account.data_account_type_asset","vea100100","FALSE"
"vea11",11,"Net Current Assets","View","account.account_type_asset_view1","vea1","FALSE"
"vea110",110,"Current Assets","View","account.account_type_asset_view1","vea11","FALSE"
"vea110100",110100,"Purchased Stocks (Inventory)","Regular","account.data_account_type_asset","vea110","FALSE"
"vea110110",110110,"Purchased Stocks (Goods In Transit)","Regular","account.data_account_type_asset","vea110","FALSE"
"vea110200",110200,"Debtors (Receivables)","Receivable","account.data_account_type_receivable","vea110","FALSE"
"vea110210",110210,"Staff Loans ","Regular","account.data_account_type_asset","vea110","FALSE"
"vea110300",110300,"Tax Paid","Regular","account.data_account_type_asset","vea110","FALSE"
"vea1104",1104,"Bank All Accounts","View","account.account_type_asset_view1","vea110","FALSE"
"vea110401",110401,"Cash (Not Banked)","Liquidity","account.data_account_type_cash","vea110","FALSE"
"vea110402",110402,"Bank ( F.N.B)","View","account.account_type_asset_view1","vea1104","FALSE"
"vea110403",110403,"First National Bank C.A. 62360129756","Liquidity","account.data_account_type_bank","vea110402","FALSE"
"vea110404",110404,"First National Bank M.M 62361454871","Liquidity","account.data_account_type_bank","vea110402","FALSE"
"vea110405",110405,"First National Bank CFC USD 318124 ","Liquidity","account.data_account_type_bank","vea110402","FALSE"
"vea110406",110406,"First National Bank CFC EUR 318108","Liquidity","account.data_account_type_bank","vea110402","FALSE"
"vea110407",110407,"First National Bank CFC GBP 318116 ","Liquidity","account.data_account_type_bank","vea110402","FALSE"
"vea110408",110408,"First National Bank CFC INR 318132 ","Liquidity","account.data_account_type_bank","vea110402","FALSE"
"vea110408",110408,"Petty Cash","Liquidity","account.data_account_type_cash","vea110","FALSE"
"vea110501",110501,"Advance Payments Received","Regular","account.data_account_type_asset","vea110","FALSE"
"vea110502",110502,"Pre-Paid Expenses","Regular","account.data_account_type_asset","vea110","FALSE"
"vea110503",110503,"Deferred Tax (may be presented net)","Regular","account.data_account_type_asset","vea110","FALSE"
"vea110600",110600,"Opening Income Account","Regular","account.data_account_type_income","vea110","FALSE"
"vea12",12,"Current Liabilities","View","account.account_type_liability_view1","vea1","FALSE"
"vea120000",120000,"Creditors","Payable","account.data_account_type_payable","vea12","FALSE"
"vea120100",120100,"G Robertson","Regular","account.data_account_type_liability","vea12","FALSE"
"vea120200",120200,"D Robertson","Regular","account.data_account_type_liability","vea12","FALSE"
"vea121000",121000,"VAT Account","Regular","account.data_account_type_liability","vea12","FALSE"
"vea121100",121100,"With Holding Taxes","Regular","account.data_account_type_liability","vea12","FALSE"
"vea121200",121200,"Deferred tax (may be presented net)","Regular","account.data_account_type_liability","vea12","FALSE"
"vea121300",121300,"PAYE, SDL, UIF Control Account","Regular","account.data_account_type_liability","vea12","FALSE"
"vea121400",121400,"Medical Aid Control Account","Regular","account.data_account_type_liability","vea12","FALSE"
"vea121500",121500,"VIP Control Account","Regular","account.data_account_type_liability","vea12","FALSE"
"vea122000",122000,"Reserve and Profit/Loss Account (Retained Earnings)","Regular","account.data_account_type_liability","vea12","FALSE"
"vea123000",123000,"Opening Expense Account","Regular","account.data_account_type_liability","vea12","FALSE"
"vea124000",124000,"Notes Payable","Regular","account.data_account_type_liability","vea12","FALSE"
"vea125000",125000,"Short-term loans","Regular","account.data_account_type_liability","vea12","FALSE"
"vea126000",126000,"Other payables","Regular","account.data_account_type_liability","vea12","FALSE"
"vea126100",126100,"Vehicles Wesbank HP - NP200 - 85227783162","Regular","account.data_account_type_liability","vea12","FALSE"
"vea126200",126200,"Vehicles Wesbank HP - NP200 - 85227844225","Regular","account.data_account_type_liability","vea12","FALSE"
"vea126300",126300,"Vehicles BMW Finance - BMWX5 - 150300100904324","Regular","account.data_account_type_liability","vea12","FALSE"
"vea127000",127000,"Shareholders Loan Account","Regular","account.data_account_type_liability","vea12","FALSE"
